ID,RT,DT,CCS,m/z, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP
106,12.983,34.721,256.38,646.1889,2024.0,2416.0,2485.0,1795.0,1787.0,1507.0,21166.0,21834.0,20395.0,19408.0,14621.0,16362.0
107,16.458,38.56,283.53,794.5119,0.001,0.001,0.001,0.001,0.001,0.001,2991.0,12379.0,14918.0,35707.0,31371.0,27500.0
108,14.342,17.4,134.02,219.0281,9482.0,0.001,0.001,10874.0,10334.0,10768.0,18594.0,19428.0,17930.0,12609.0,13562.0,0.001
109,14.13,25.364,191.05,337.2369,8955.0,8810.0,8759.0,8485.0,6793.0,6952.0,14756.0,15786.0,15705.0,9075.0,9869.0,8975.0
110,15.017,25.33,190.88,333.2802,5417.0,5103.0,5017.0,4736.0,3783.0,3467.0,17374.0,17670.0,14056.0,15732.0,14842.0,13370.0
111,6.764,19.949,150.59,328.9804,3063.0,2665.0,2709.0,3230.0,2652.0,2218.0,19637.0,13834.0,14655.0,21497.0,15964.0,15433.0
112,9.569,32.206,238.46,577.2781,1497.0,1065.0,1202.0,1409.0,1041.0,893.0,19619.0,11482.0,15097.0,23729.0,19730.0,19431.0
113,11.415,20.881,155.68,473.9853,2922.0,2804.0,2879.0,2882.0,2508.0,1978.0,18470.0,14733.0,13708.0,21182.0,15494.0,15589.0
114,12.99,27.643,206.54,421.2269,1512.0,1773.0,1755.0,1314.0,1171.0,1236.0,15409.0,30469.0,15520.0,15120.0,14398.0,14121.0
115,13.146,25.873,193.95,384.2421,635.0,517.0,540.0,2909.0,2229.0,2154.0,3863.0,4208.0,4666.0,31396.0,27112.0,28575.0
116,14.147,28.553,213.34,419.3141,0.001,0.001,0.001,2414.0,2646.0,2769.0,0.001,0.001,0.001,23426.0,35127.0,42192.0
117,15.381,27.404,205.15,397.3694,0.001,0.001,0.001,4207.0,4886.0,4683.0,0.001,0.001,0.001,35981.0,28116.0,29853.0
118,16.065,29.975,222.83,496.3687,0.001,0.001,0.001,7280.0,6680.0,6599.0,0.001,0.001,0.001,30371.0,26236.0,25788.0
119,13.865,17.462,134.53,218.0316,0.001,0.001,0.001,4762.0,0.001,0.001,23377.0,22360.0,22252.0,23104.0,1783.0,4670.0
120,14.968,26.488,198.89,365.267,12243.0,12267.0,12061.0,10389.0,9824.0,9647.0,6794.0,7947.0,6302.0,4155.0,5009.0,5099.0
121,13.752,17.433,134.27,219.0283,0.001,0.001,0.001,0.001,0.001,0.001,18684.0,18080.0,18168.0,18328.0,13376.0,13865.0
122,11.878,24.501,185.53,297.1525,5552.0,4355.0,5011.0,2234.0,1433.0,1777.0,0.001,0.001,44012.0,35681.0,0.001,0.001
123,13.248,27.408,205.28,391.2832,0.001,0.001,0.001,5239.0,4608.0,4669.0,282.0,230.0,248.0,31695.0,25719.0,26149.0
124,16.244,31.148,231.36,509.4579,1825.0,2328.0,2308.0,1795.0,1596.0,1524.0,19892.0,11948.0,12574.0,15792.0,14084.0,13032.0
125,12.093,22.061,163.99,524.9865,2389.0,2050.0,1968.0,2544.0,1787.0,1562.0,14414.0,12114.0,11684.0,19043.0,13500.0,13807.0
126,13.469,24.965,188.01,339.1998,8874.0,0.001,0.001,4426.0,2567.0,386.0,12567.0,13394.0,21485.0,13873.0,9206.0,9759.0
127,13.145,22.6,171.91,271.2271,694.0,566.0,646.0,3271.0,2525.0,2601.0,3596.0,3526.0,3294.0,27891.0,22530.0,23993.0
128,14.58,28.074,209.32,450.299,1465.0,1450.0,1348.0,1026.0,1002.0,866.0,13108.0,10904.0,12302.0,18188.0,15147.0,14797.0
129,16.116,37.913,279.0,760.5158,0.001,0.001,0.001,0.001,0.001,0.001,8635.0,330.0,12076.0,24310.0,22031.0,23440.0
130,14.98,26.701,200.44,367.358,0.001,2087.0,0.001,0.001,9424.0,9192.0,0.001,0.001,0.001,0.001,42191.0,27392.0
131,15.719,29.449,219.1,483.3501,0.001,0.001,0.001,3947.0,3818.0,3945.0,0.001,0.001,0.001,30566.0,24257.0,23679.0
132,16.424,36.812,271.13,728.5622,0.001,0.001,0.001,0.001,0.001,1336.0,0.001,0.001,0.001,29010.0,37402.0,22107.0
133,14.548,24.235,183.32,305.2483,15488.0,15342.0,15335.0,14751.0,13711.0,13361.0,244.0,0.001,205.0,212.0,258.0,253.0
134,14.902,27.911,208.24,441.3028,0.001,0.001,0.001,5055.0,5157.0,4641.0,0.001,0.001,0.001,28108.0,24305.0,21627.0
135,14.042,17.459,134.47,219.0281,4320.0,4732.0,4792.0,0.001,0.001,0.001,17317.0,15846.0,16911.0,16154.0,1614.0,3063.0
136,16.332,30.479,226.39,511.381,0.001,0.001,0.001,0.001,0.001,198.0,0.001,0.001,0.001,33048.0,25330.0,25804.0
137,15.425,26.741,200.48,381.3188,0.001,0.001,0.001,6642.0,7125.0,6967.0,0.001,0.001,0.001,23009.0,20108.0,19275.0
138,11.179,23.921,180.7,315.254,2216.0,2048.0,1900.0,1938.0,1497.0,1679.0,12187.0,9215.0,10457.0,15160.0,12753.0,11689.0
139,14.553,28.54,212.97,437.3251,0.001,0.001,0.001,17172.0,19113.0,19248.0,0.001,0.001,0.001,8259.0,8895.0,8180.0
140,12.182,23.209,175.49,309.1738,2017.0,1234.0,1265.0,2679.0,276.0,4354.0,7216.0,8217.0,16550.0,6805.0,27547.0,2335.0
141,13.526,21.622,165.46,241.2177,4337.0,3540.0,3718.0,3984.0,2876.0,3150.0,8807.0,7544.0,7788.0,12300.0,10700.0,10384.0
142,15.326,24.445,184.74,311.2953,1673.0,1448.0,0.001,1618.0,1256.0,1301.0,11781.0,11673.0,10116.0,14087.0,12034.0,11471.0
143,14.881,28.268,211.32,413.3454,0.001,0.001,0.001,5436.0,5623.0,5501.0,0.001,0.001,0.001,23409.0,21121.0,17068.0
144,15.658,27.855,208.27,411.385,0.001,0.001,0.001,2359.0,3241.0,2963.0,0.001,0.001,0.001,27378.0,20280.0,21655.0
145,3.967,15.717,124.66,144.0457,2502.0,2684.0,2519.0,3290.0,2340.0,2185.0,9277.0,5334.0,5614.0,15466.0,12981.0,12493.0
146,14.297,32.682,242.21,554.3467,3520.0,3748.0,3350.0,3355.0,2950.0,3053.0,10741.0,10504.0,10037.0,9334.0,8517.0,7329.0
147,11.754,26.087,193.34,572.9856,1804.0,1701.0,1686.0,1732.0,1642.0,1170.0,12075.0,9888.0,9322.0,14117.0,10561.0,9925.0
148,14.548,29.115,216.62,483.3503,0.001,0.001,0.001,11029.0,11683.0,12376.0,0.001,0.001,0.001,13154.0,14340.0,12927.0
149,12.674,23.226,172.25,569.9661,1424.0,1489.0,1286.0,1427.0,1159.0,1051.0,11199.0,10165.0,9293.0,15237.0,10044.0,11456.0
150,14.129,18.972,144.68,262.0369,9244.0,10061.0,8875.0,10434.0,7550.0,6604.0,10406.0,0.001,12027.0,0.001,0.001,0.001
151,16.059,27.794,207.85,409.3506,0.001,0.001,0.001,6214.0,5497.0,5851.0,148.0,0.001,0.001,20820.0,18213.0,18105.0
152,14.666,23.184,176.03,281.2494,0.001,0.001,0.001,0.001,0.001,0.001,8314.0,7812.0,0.001,20166.0,20071.0,17251.0
153,13.071,23.438,174.25,514.9798,500.0,626.0,487.0,534.0,808.0,0.001,12599.0,11039.0,10568.0,13700.0,11155.0,11563.0
154,13.711,27.022,202.54,383.3166,0.001,0.001,0.001,1355.0,1263.0,1266.0,523.0,491.0,570.0,25868.0,18548.0,22165.0
155,15.145,28.797,215.05,426.3643,0.001,0.001,0.001,9315.0,10047.0,9315.0,0.001,0.001,0.001,15593.0,13963.0,13374.0
156,10.453,27.778,206.64,489.2832,2359.0,2138.0,2208.0,2312.0,1941.0,1783.0,10696.0,8453.0,9554.0,10609.0,9259.0,10030.0
157,14.043,18.937,144.39,263.034,2226.0,6869.0,6734.0,7268.0,6910.0,7301.0,7768.0,7229.0,7653.0,0.001,6819.0,4512.0
158,6.932,16.391,124.87,272.9956,1813.0,1785.0,1481.0,1795.0,1358.0,1271.0,11459.0,8487.0,8428.0,12826.0,9440.0,9096.0
159,12.105,26.6,197.0,589.0129,1463.0,1362.0,1163.0,1509.0,1236.0,932.0,10327.0,8813.0,8356.0,13099.0,10252.0,9948.0
160,14.4,30.058,223.33,506.326,0.001,0.001,0.001,0.001,0.001,0.001,4964.0,2581.0,3494.0,15743.0,19959.0,21519.0
161,15.8,37.66,277.16,758.499,0.001,0.001,0.001,188.0,187.0,158.0,8073.0,6436.0,8817.0,15459.0,14819.0,13470.0
162,15.85,36.115,266.2,702.5456,0.001,0.001,0.001,0.001,0.001,631.0,0.001,0.001,207.0,24346.0,22852.0,18897.0
163,13.368,28.113,209.53,456.2765,1188.0,1025.0,904.0,1003.0,713.0,827.0,8446.0,7892.0,8451.0,12513.0,11436.0,12320.0
