ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 2286-17.d.DeMP
2828,16.017,44.1,323.04,903.699,-1,3,45,72.8,,False,67.90900490787877
2850,7.491,17.375,133.78,202.0392,-1,1,25,52.1,,False,60.78653835265169
2855,15.842,30.184,223.36,535.3149,-1,2,52,95.8,,False,13.481014430982157
2858,1.38,13.628,106.0,172.8305,-1,1,39,88.1,,False,23.677035853897763
2861,16.412,23.721,181.62,221.1563,-1,1,27,98.9,,False,5.097330789761088
2881,14.658,26.515,232.48,59.0185,-1,1,28,99.0,,False,263.5912129554949
2886,12.186,21.688,162.49,356.0446,-1,3,30,52.5,,False,24.925636883653794
2936,15.107,32.737,241.0,681.1284,-1,9,11,99.7,,False,185.999
2940,10.682,17.531,133.6,243.0315,-1,1,36,52.5,,False,21.811529100244798
2946,15.756,42.232,309.29,920.569,-1,3,33,73.7,,False,31.82007262121317
2974,11.056,22.921,170.88,416.9449,-1,2,13,100.0,,False,1747.999
2977,13.415,19.39,148.38,225.0087,-1,2,24,100.0,,False,37.372541598125395
2998,15.048,34.233,251.26,811.1278,-1,3,31,96.6,,False,47.2652529151232
3004,14.725,29.152,220.48,283.2687,-1,1,27,99.5,,False,81.70764056899924
3015,16.342,30.174,223.33,535.3136,-1,2,46,96.6,,False,22.08513044840325
3024,14.107,33.505,249.42,435.2521,-1,3,17,100.0,,False,39.66801310464811
3042,15.876,41.714,305.66,896.568,-1,3,26,78.7,,False,81.2409901831997
3045,16.474,32.667,241.39,574.4245,-1,2,32,96.1,,False,118.23729693086693
3057,16.379,41.069,301.49,804.5587,-1,3,24,99.2,,False,104.49551603300284
3070,15.441,29.318,217.73,472.3472,-1,2,44,96.7,,False,49.367923224253275
3096,14.964,17.149,131.3,221.023,-1,1,14,68.3,,False,5.042383737846876
3101,13.551,28.991,214.94,503.2613,-1,4,19,100.0,,False,218.999
3103,15.456,27.868,207.87,411.3475,-1,2,19,96.0,,False,57.66092484699021
3111,14.103,29.384,217.85,502.2929,-1,2,18,100.0,,False,134.78587858495567
3128,16.374,42.974,314.55,962.5795,-1,2,30,83.3,,False,63.8977454213078
3130,13.966,22.124,165.95,350.05,-1,2,18,51.3,,False,32.67832146192444
3166,15.983,40.438,296.57,850.5701,-1,4,13,100.0,,False,636.089066394553
3167,15.928,39.858,292.42,826.5639,-1,3,21,80.3,,False,258.8993266006687
3186,16.247,22.471,170.08,279.1631,-1,1,45,93.6,,False,22.243355925686274
3200,13.317,26.74,204.62,225.0066,-1,2,26,99.7,,False,234.999
3209,14.525,27.287,203.99,381.3741,-1,1,37,94.4,,False,91.84140827939373
3213,13.727,31.059,229.73,552.3108,-1,2,29,97.4,,False,65.65556990028284
3214,13.954,28.505,211.59,485.2729,-1,3,15,100.0,,False,84.2544752085403
3225,14.023,20.515,159.48,175.0212,-1,1,14,67.5,,False,300.999
