Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%),GroupID,Repeating Unit,KMD (CF2)
unmatched,141.275,8.139833333333334,330.9807333333333,55755.0,100.0,100.0,18,CF2,-0.0018512514431563432
unmatched,149.3,10.423,330.9808,16491.0,100.0,100.0,18,CF2,-0.0019179223634182563
unmatched,133.195,7.425,330.9815,19026.0,100.0,100.0,18,CF2,-0.0026179670263104526
unmatched,156.78,14.505,480.9661,80568.0,100.0,100.0,18,CF2,0.003212404951455028
tentative,161.49,12.451,480.9704,68689.0,100.0,100.0,18,CF2,-0.0010878694060352245
tentative,165.35,10.5405,480.97045,54595.0,100.0,100.0,18,CF2,-0.0011378725963027136
tentative,154.765,10.5275,480.97085,3405.0,100.0,100.0,18,CF2,-0.0015378981178741924
tentative,154.86,12.444,480.9715,38158.0,100.0,100.0,18,CF2,-0.002187939590555743
tentative,154.125,9.011,480.9722,59392.0,100.0,100.0,18,CF2,-0.002887984253391096
unmatched,143.625,9.5265,330.981675,78477.0,100.0,100.0,18,CF2,-0.002792978192019291
unmatched,135.26,12.8745,330.9825,72074.0,100.0,100.0,18,CF2,-0.0036180308304096798
unmatched,146.99,7.627,330.9832,56782.0,100.0,100.0,18,CF2,-0.004318075493245033
unmatched,185.8,15.007,680.9509,46848.0,100.0,100.0,18,CF2,0.005652560633279791
unmatched,197.22,13.141,680.9554,78410.0,100.0,100.0,18,CF2,0.0011522735150037988
unmatched,219.21,8.035,680.9563,83882.0,100.0,100.0,18,CF2,0.0002522160913258631
unmatched,191.61444444444444,14.992222222222225,680.9569444444445,4392.0,100.0,100.0,18,CF2,-0.0003922694712628072
unmatched,184.395,11.834,680.9574,10290.0,100.0,100.0,18,CF2,-0.0008478540930809686
unmatched,198.455,15.728,680.9575500000001,58508.0,100.0,100.0,18,CF2,-0.0009978636637697491
unmatched,190.1888888888889,13.413000000000002,680.9579666666666,24608.0,100.0,100.0,18,CF2,-0.0014145569153924953
unmatched,219.68,9.961,680.958,58005.0,100.0,100.0,18,CF2,-0.0014478923754950301
unmatched,198.225,14.7135,680.95835,68135.0,100.0,100.0,18,CF2,-0.0017979147069127066
unmatched,186.15,13.78125,680.9591,61557.0,100.0,100.0,18,CF2,-0.0025479625600155487
unmatched,220.28,11.317,680.9592,65027.0,100.0,100.0,18,CF2,-0.00264796894043684
