level,m/C,MD/C
1.3,41.09109265557208,-0.0033
1.3,40.87,-0.003042471720819992
1.3,40.64894426595339,-0.0028000000000000004
1.3,40.376366512645234,-0.0024
1.3,40.275560400218566,-0.002
1.3,40.27341397714429,-0.0015
1.3,40.295252841771266,-0.0011
1.3,40.30810778328303,-0.0007
1.3,40.316432282225634,-0.00019999999999999998
1.3,40.33687767293593,0.0002
1.3,40.38370225153737,0.0007
1.3,40.46393128639471,0.0011
1.3,40.57455409672849,0.0015
1.3,40.704760619937,0.002
1.3,40.84548792049966,0.0024
1.3,40.87,0.002464689483786947
1.3,41.00533249668792,0.0027999999999999995
1.3,41.20815830162941,0.0033
1.3,41.4821558490443,0.0037
1.3,41.74,0.004007630734251792
1.3,41.8198827360096,0.0041
1.3,42.13406496118941,0.0046
1.3,42.35207671570455,0.004999999999999999
1.3,42.47958737907434,0.0054
1.3,42.56377718150359,0.005900000000000001
1.3,42.61,0.006230952564650087
1.3,42.620495034133256,0.0063
1.3,42.637678078508706,0.0067
1.3,42.71251030111597,0.0072
1.3,43.22174704306122,0.0076
1.3,43.48,0.007678254653573613
1.3,44.35,0.00785219672705617
1.3,45.22,0.00795390286068165
1.3,45.91286847020354,0.008
1.3,46.09,0.0080101978909153
1.3,46.96,0.008038406441677314
1.3,47.83,0.008052178822541866
1.3,48.7,0.008058175964833571
1.3,49.57000000000001,0.00806061021873428
1.3,50.43,0.008061603229163898
1.3,51.3,0.00806202027038555
1.3,52.17,0.008062188389505853
1.3,53.04,0.00806224699464757
1.3,53.91,0.008062264306903462
1.3,54.78,0.008062268403077236
1.3,55.65,0.008062269160597532
1.3,56.52,0.008062269261124171
1.3,57.39,0.008062269261124171
1.3,58.25999999999999,0.008062269261124171
1.3,59.129999999999995,0.008062269261124171
1.3,60.0,0.008062269261124171
1.3,60.87,0.008062269261124171
1.3,61.74,0.008062269261124171
1.3,62.61,0.008062269261124171
1.3,63.47999999999999,0.008062269261124171
1.3,64.35,0.008062269261124171
1.3,65.22,0.008062269261124171
1.3,66.09,0.008062269261124171
1.3,66.96,0.008062269261124171
1.3,67.83,0.008062269261124171
1.3,68.7,0.008062269261124171
1.3,69.57,0.008062269261124171
1.3,70.43,0.008062269261124171
1.3,71.3,0.008062269261124171
1.3,72.17,0.008062269261124171
1.3,73.04,0.008062269261124171
1.3,73.91,0.008062269261124171
1.3,74.78,0.008062269261124171
1.3,75.65,0.008062269261124171
1.3,76.51999999999998,0.008062269261124171
1.3,77.39,0.008062269261124171
1.3,78.26,0.008062269261124171
1.3,79.13,0.008062269261124171
