Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),Abundance,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
2-(Perfluorobutyl)ethanethiol,Suspects Library,tentative,4559.0,10.5,18.59,140.7,278.9907,4.14,N/A,N/A,55.999,0.0,221.999,0.0,0.0,0.0,0.0,225.999,0.0,33.3,54.0
2-(Perfluorobutyl)ethanethiol,Suspects Library,tentative,4857.0,11.3,18.59,140.9,278.9933,13.46,N/A,N/A,51.999,0.0,0.0,0.0,0.0,178.999,0.0,232.999,0.0,33.3,50.0
"2-Ethyl-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)aniline or 4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-2,6-dimethylaniline",Suspects Library,tentative,7523.0,10.8,19.07,144.2,288.0663,11.92,N/A,N/A,22.999,0.0,0.0,0.0,0.0,0.0,119.999,65.999,0.0,33.3,24.0
"1H-Pyrrole, 2-(4-chloro-1,1,2,2,3,3,4,4-octafluorobutyl)-",Suspects Library,tentative,7720.0,8.4,17.49,132.5,299.9834,0.76,N/A,N/A,21.999,0.0,0.0,113.999,60.999,0.0,0.0,0.0,0.0,33.3,23.0
"2,2,3,3-Tetrafluoropropyl 4-(2H-tetrazol-5-yl)benzoate",Suspects Library,tentative,4265.0,4.8,19.26,145.6,303.0536,8.39,N/A,N/A,60.999,0.0,0.0,143.999,100.999,0.0,122.999,121.999,0.0,55.6,61.0
"(2Z)-4,4,5,5,6,6,6-Heptafluoro-3-phenylhex-2-enoic acid or 3,3,3-Trifluoro-N-(4-nitrophenyl)-2-(trifluoromethyl)propanamide",Suspects Library,tentative,6844.0,11.2,19.72,148.9,315.0256,-1.74 or 14.66,N/A,N/A,27.999,68.999,0.0,65.999,90.999,0.0,0.0,0.0,0.0,44.4,30.0
"(2Z)-4,4,5,5,6,6,6-Heptafluoro-3-phenylhex-2-enoic acid",Suspects Library,tentative,8457.0,13.5,19.64,148.5,315.0285,7.47,N/A,N/A,16.999,79.999,0.0,0.0,58.999,0.0,0.0,0.0,0.0,33.3,19.0
"3-[(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)sulfanyl]benzoic acid or 3-[(Heptafluoropropyl)sulfanyl]benzoic acid or 4-[(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)sulfanyl]benzoic acid or Benzoic acid, 4-[(heptafluoropropyl)thio]-",Suspects Library,tentative,4709.0,8.4,17.56,132.6,320.983,1.35,N/A,N/A,53.999,143.999,0.0,94.999,0.0,85.999,102.999,0.0,0.0,55.6,54.0
"2-(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)propane-1,3-diol or Ethyl [5-(heptafluoropropyl)-1H-pyrazol-3-yl]acetate",Suspects Library,tentative,5813.0,13.8,21.47,161.7,321.0522,-6.39 or 13.25,N/A,N/A,23.999,0.0,77.999,0.0,0.0,113.999,0.0,0.0,0.0,33.3,25.0
"4,4,4-trifluoro-1-(4-nitrophenyl)-3-(trifluoromethyl)butane-1,3-diol",Suspects Library,tentative,4175.0,15.2,21.31,160.1,332.0383,6.03,N/A,N/A,62.999,0.0,212.999,0.0,0.0,0.0,182.999,0.0,109.999,44.4,61.0
"4,4,4-trifluoro-1-(4-nitrophenyl)-3-(trifluoromethyl)butane-1,3-diol",Suspects Library,tentative,6482.0,10.6,22.06,166.2,332.0379,4.83,N/A,N/A,31.999,50.999,0.0,60.999,84.999,0.0,0.0,0.0,54.999,55.6,34.0
2-(Nonafluorobutyl)-1H-indole or 3-(Nonafluorobutyl)-1H-indole,Suspects Library,tentative,6280.0,8.9,21.15,159.3,334.033,13.85,N/A,N/A,33.999,0.0,0.0,71.999,76.999,61.999,0.0,56.999,0.0,55.6,36.0
"Malononitrile, (6-(2-hydroxy-3,3,3-trifluoro-2-trifluoromethylpropyl)-2-pyridylmethylene)-",Suspects Library,tentative,6208.0,12.3,21.26,159.8,334.038,-12.13,N/A,N/A,0.0,0.0,0.0,0.0,0.0,21.918502315792807,0.0,21.918502315792807,0.0,22.2,7.0
"4,4'-(1,2,2,3,3,3-Hexafluoropropane-1,1-diyl)diphenol or 4-[1,1,2,2,3,3-hexafluoro-3-(4-hydroxyphenyl)propyl]phenol or Bisphenol AF",Suspects Library,tentative,6675.0,6.8,22.79,171.9,335.0501,-3.34,N/A,N/A,29.999,0.0,0.0,123.999,113.999,0.0,0.0,0.0,0.0,33.3,30.0
"(1r,4r)-4-(Nonafluorobutyl)cyclohexane-1-carboxylic acid or (1s,4s)-4-(Nonafluorobutyl)cyclohexane-1-carboxylic acid",Suspects Library,tentative,7501.0,10.7,22.08,166.3,345.0591,14.05,N/A,N/A,22.999,66.999,0.0,119.999,0.0,0.0,0.0,0.0,0.0,33.3,24.0
"2,2,3,3,4,4,5,5,5-Nonafluoro-N,N-bis(2-hydroxyethyl)pentanamide",Suspects Library,tentative,5416.0,11.4,22.11,165.7,350.048,10.33,N/A,N/A,52.999,0.0,0.0,0.0,0.0,0.0,0.0,224.999,221.999,33.3,53.0
"2,2,3,3,4,4,5,5-Octafluoropentyl 4-hydroxybenzoate",Suspects Library,tentative,8834.0,14.1,21.57,162.0,351.0307,9.72,N/A,N/A,14.999,0.0,0.0,0.0,0.0,55.999,63.999,0.0,0.0,33.3,17.0
"4-[1,1,2-Trifluoro-2-(heptafluoropropoxy)ethoxy]butan-1-ol",Suspects Library,tentative,3560.0,10.1,21.7,163.0,355.0443,12.83,N/A,N/A,77.999,104.999,106.999,118.999,159.999,0.0,0.0,0.0,128.999,66.7,76.0
"4-[1,1,2-Trifluoro-2-(heptafluoropropoxy)ethoxy]butan-1-ol",Suspects Library,tentative,4419.0,11.1,21.72,163.1,355.044,11.98,N/A,N/A,57.999,170.999,136.999,0.0,0.0,0.0,0.0,0.0,157.999,44.4,57.0
"2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-7-nitro-3,4-dihydronaphthalen-1(2h)-one or N-(Perfluoro-1-oxobutyl)aspartic acid 1-ethyl ester",Suspects Library,tentative,7405.0,13.2,22.49,168.7,356.0384,2.7 or 5.91,N/A,N/A,23.999,0.0,64.999,71.999,0.0,0.0,0.0,0.0,55.999,44.4,26.0
"5,5,6,6,7,7,7-heptafluoro-4,4-bis(trifluoromethyl)heptanoic Acid or 6:3 Fluorotelomer carboxylic acid",Suspects Library,tentative,7692.0,8.6,21.52,160.7,391.0067,14.79,N/A,N/A,21.999,0.0,61.999,0.0,0.0,55.999,0.0,0.0,58.999,44.4,24.0
"3-(Bromomethyl)-1,1,1,2,2,4,4,5,5,6,6,6-dodecafluorohexan-3-ol",Suspects Library,tentative,5041.0,10.3,24.86,186.0,408.9164,14.95,N/A,N/A,47.999,115.999,0.0,149.999,0.0,0.0,120.999,0.0,0.0,44.4,48.0
"Propanamide, 2,2,3,3,3-pentafluoro-N-(2-((propylsulfonyl)amino)-5-(trifluoromethyl)-3-pyridinyl)-",Suspects Library,tentative,6363.0,11.8,23.72,177.2,428.0373,12.25,N/A,N/A,32.999,71.999,0.0,127.999,89.999,0.0,0.0,0.0,0.0,44.4,37.0
"2,3-Dibromo-6-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-3,5,5-trimethylcyclohexan-1-one or [2-(3-chloro-1,1,2,2,3,3-hexafluoropropoxy)-1,1,2,3,3,3-hexafluoropropoxy](difluoro)acetic acid",Suspects Library,tentative,6847.0,9.4,20.82,155.1,460.9257,-2.17 or 14.11,N/A,N/A,27.999,65.999,93.999,65.999,0.0,0.0,0.0,0.0,0.0,44.4,30.0
